time	step	train_loss	lr	acc	smilarity
01-07 19:25	60000	2.1400146484375	5.779224999999979e-06	0.09629952647500395	0.08618801607726476
01-07 19:26	60400	2.0926339626312256	5.75424999999998e-06	0.09809866459336329	0.0884290010883258
01-07 19:27	60800	2.14324951171875	5.72927499999998e-06	0.09874064095836521	0.08811870327171607
01-07 19:27	61200	2.116753578186035	5.70429999999998e-06	0.08564350321360821	0.081153298369967
01-07 19:28	61600	2.139427900314331	5.654349999999981e-06	0.09632447114568846	0.08514957010554963
01-07 19:29	62000	2.107266902923584	5.629374999999981e-06	0.08850628744784918	0.08328183133823747
01-07 19:30	62400	2.10683274269104	5.6043999999999814e-06	0.09363276057652227	0.08730532548939571
01-07 19:31	62800	2.0819692611694336	5.579424999999982e-06	0.09287249335178063	0.08518967500481849
01-07 19:32	63200	2.10650634765625	5.554449999999982e-06	0.09706358476195726	0.08577691706327292
01-07 19:33	63600	2.0711669921875	5.529474999999982e-06	0.09145038854396945	0.0851737176760649
01-07 19:33	64000	2.0511655807495117	5.504499999999982e-06	0.08963982990420087	0.08454205219944318
01-07 19:34	64400	2.1098709106445312	5.479524999999982e-06	0.08883208590089234	0.07999375577156358
01-07 19:35	64800	2.0538549423217773	5.429574999999983e-06	0.09423088177674842	0.08398486798008281
01-07 19:36	65200	2.0676229000091553	5.404599999999982e-06	0.09153508908686506	0.08169141684014064
01-07 19:37	65600	2.0646185874938965	5.379624999999982e-06	0.08943214128056395	0.08169458880542947
01-07 19:38	66000	2.0928385257720947	5.354649999999983e-06	0.09530679540436146	0.08531839973651445
01-07 19:39	66400	2.1346726417541504	5.329674999999983e-06	0.09830876275843375	0.09042257018005238
01-07 19:39	66800	2.100198268890381	5.304699999999983e-06	0.08570507140339911	0.08286874507291193
01-07 19:40	67200	2.0331380367279053	5.2797249999999836e-06	0.09645012709487595	0.08699304027817188
01-07 19:41	67600	2.029036521911621	5.229774999999984e-06	0.09282604761523781	0.08510820964016978
01-07 19:42	68000	2.0518975257873535	5.2047999999999845e-06	0.09427020916894317	0.08687436602150017
01-07 19:43	68400	2.018186569213867	5.179824999999985e-06	0.08966460512646482	0.08459867608661835
01-07 19:44	68800	2.08782958984375	5.154849999999985e-06	0.09331634473178868	0.0844417463701505
01-07 19:45	69200	2.080543041229248	5.129874999999985e-06	0.09069701406805605	0.08322909617653258
01-07 19:45	69600	2.12066650390625	5.104899999999986e-06	0.0966716457813557	0.08427676821175295
01-07 19:46	70000	2.082651138305664	5.079924999999986e-06	0.09052025670514201	0.08409928391950254
01-07 19:47	70400	2.0856854915618896	5.029974999999986e-06	0.09385440112486759	0.08585700015418042
01-07 19:48	70800	2.0700645446777344	5.004999999999986e-06	0.09429632134679883	0.08535448232522377
01-07 19:49	71200	2.0703744888305664	4.980024999999986e-06	0.09329381262390632	0.08501324129219237
01-07 19:50	71600	2.044766902923584	4.9550499999999865e-06	0.09138507385715325	0.08544922954378988
01-07 19:51	72000	2.07110595703125	4.930074999999987e-06	0.09407437186351732	0.08571026913630654
01-07 19:51	72400	2.08917236328125	4.905099999999987e-06	0.09286417753835646	0.08434474802552121
01-07 19:52	72800	2.0423922538757324	4.8801249999999874e-06	0.09825947366228702	0.08935810262576127
01-07 19:53	73200	2.052455425262451	4.855149999999987e-06	0.0904483551830651	0.08485041659038803
01-07 19:54	73600	1.9932761192321777	4.805199999999986e-06	0.09487263254623059	0.0842887164117434
01-07 19:55	74000	2.0221567153930664	4.780224999999986e-06	0.09504504316689702	0.08564194750327332
01-07 19:56	74400	1.9878840446472168	4.755249999999986e-06	0.09071773687972715	0.08225016935895654
01-07 19:57	74800	2.0333986282348633	4.730274999999987e-06	0.09440776402289662	0.08407234104397969
01-07 19:57	75200	2.067336320877075	4.705299999999987e-06	0.09329338182710459	0.085079948632763
01-07 19:58	75600	2.0625	4.680324999999986e-06	0.08643698937864064	0.08271138900174542
01-07 19:59	76000	2.0020833015441895	4.655349999999987e-06	0.09105530331156494	0.08608869520517495
01-07 20:00	76400	2.0035157203674316	4.6053999999999864e-06	0.08787882170896018	0.08235650652876265
01-07 20:01	76800	2.0246775150299072	4.580424999999987e-06	0.09353876957705834	0.08580294351738235
01-07 20:02	77200	1.9926998615264893	4.555449999999987e-06	0.0931709939915856	0.08264362680701873
01-07 20:03	77600	2.081298828125	4.530474999999987e-06	0.09049910309666913	0.08247248615878515
01-07 20:03	78000	2.068328380584717	4.505499999999987e-06	0.09143987418135012	0.08367201375464602
01-07 20:04	78400	2.07635498046875	4.480524999999987e-06	0.09287395519060644	0.08488012797748432
01-07 20:05	78800	2.055617570877075	4.455549999999987e-06	0.0882007933469303	0.08166364981577945
01-07 20:06	79200	2.0458669662475586	4.405599999999988e-06	0.0884033985179502	0.08271043313046296
01-07 20:07	79600	2.0209574699401855	4.380624999999988e-06	0.08874171651521956	0.08316031509102918
01-07 20:08	80000	2.05078125	4.3556499999999885e-06	0.09137246770036143	0.08425616301023044
01-07 20:09	80400	2.0760788917541504	4.330674999999989e-06	0.08828880959004944	0.08000251323653337
01-07 20:09	80800	2.0867919921875	4.305699999999989e-06	0.09122576817087312	0.08272723925228302
01-07 20:10	81200	2.0615234375	4.2807249999999886e-06	0.08685684681194052	0.08392394367509928
01-07 20:11	81600	2.001857042312622	4.255749999999989e-06	0.0870843520884586	0.0826970062767848
01-07 20:12	82000	2.0200271606445312	4.230774999999989e-06	0.09330389618972389	0.08521344111515926
01-07 20:13	82400	1.9507555961608887	4.18082499999999e-06	0.0893045481305624	0.08178077724117497
01-07 20:14	82800	2.0033297538757324	4.15584999999999e-06	0.08902629494044037	0.08099055636483127
01-07 20:15	83200	1.9827197790145874	4.13087499999999e-06	0.09548023706705196	0.08650702309723085
01-07 20:15	83600	2.0201821327209473	4.105899999999991e-06	0.08208516619621943	0.07896067846853
01-07 20:16	84000	2.031064033508301	4.08092499999999e-06	0.09416883822496931	0.0836731248702376
01-07 20:17	84400	2.026599645614624	4.05594999999999e-06	0.08764115254857674	0.08210122871857423
01-07 20:18	84800	1.9763672351837158	4.030974999999991e-06	0.09024531921524338	0.08291090735926844
01-07 20:19	85200	1.9638671875	3.981024999999991e-06	0.09407346570472738	0.0849962890243683
01-07 20:20	85600	1.99541175365448	3.9560499999999915e-06	0.09105711562914483	0.08336066471365018
01-07 20:21	86000	1.9579918384552002	3.931074999999991e-06	0.09577680352741155	0.0870603238447354
